,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,rank_score
Iho1,1285.335616452467,5.156839233758593,0.3243120474887794,15.90085620836213,6.250460634084819e-57,2.2794132667092716e-54,56.2040879757008
Elp6,1069.8704414160504,2.4274476603783888,0.1882708467562925,12.893380479244364,4.904585154729954e-38,2.916794519096017e-36,37.309397720726615
Lrrc17,498.6857991234576,2.370422968594729,0.1850109048936908,12.812341899288574,1.398491334293075e-37,8.092826499765434e-36,36.85434022037602
Pknox2,366.7593415808325,0.9805120834830356,0.0790379441837378,12.405586881203035,2.43720423000371e-35,1.2140794679771059e-33,34.61310807678683
Gm26992,61.82028342596512,4.745769420053463,0.3870102512703144,12.262645251581963,1.4373006407825103e-34,6.792211927883708e-33,33.84245238080343
Kdm6a,1073.9031350561058,0.8254764351553803,0.0677865642336877,12.177581862825033,4.092359817815778e-34,1.8437559570802647e-32,33.388026188248766
Kcnq1,1116.7713240093335,1.0287780137370368,0.0845720190047698,12.164519965864992,4.802602506145334e-34,2.1537053651688404e-32,33.31852335684041
Gata6,2134.510025661072,1.009857722223665,0.08551823594442,11.808682803981023,3.520329879982661e-32,1.3885905289858141e-30,31.45341663812884
Tmem164,1206.4519682513414,1.0552162819109954,0.09182746890865,11.491292251131563,1.459127231429814e-30,5.146405922893773e-29,29.835906837305487
Cox5a,16289.532869514893,0.7860742871894992,0.0695911534199829,11.295606532708788,1.3794838491097228e-29,4.565524629382315e-28,28.860283379841256
Nrk,41.72412907501753,1.3895406866218185,0.1241612543867411,11.191419525238013,4.4918414272299276e-29,1.4139790082328994e-27,28.34757558377625
Lrrc10,3764.930617288821,1.1701706450008242,0.1054853313543786,11.093207273242838,1.353463880304098e-28,4.106711126925841e-27,27.8685533296932
Kif3a,564.5034099365304,0.9474029549935756,0.0854757165592673,11.083884325633743,1.502112869997274e-28,4.5222488397674944e-27,27.823297432860954
Cnksr3,1129.8369222952858,0.7829592077451517,0.0717662385276576,10.909854324375818,1.0342194432275638e-27,2.880316051686218e-26,26.98538730179208
Sorcs2,801.3780991613802,1.4497461244812777,0.1337141883402574,10.842126347820043,2.173593985972407e-27,5.908751696325552e-26,26.66282157622
Fig4,1272.9057064537378,0.4627466470707981,0.0428088003175949,10.809614930521745,3.0996845412855207e-27,8.332503868423719e-26,26.508682502601264
Gm12338,2477.4185022697616,1.02787179142438,0.0951202480161002,10.80602514041385,3.223361762309425e-27,8.65293557526619e-26,26.491690950287232
Pdzd2,3525.180898943638,1.2912615875334872,0.1199354333376053,10.766306099872295,4.965245074951488e-27,1.320058553076511e-25,26.304059310698843
2810025M15Rik,464.349994235036,0.7240838022215413,0.067396386823418,10.743659064671792,6.3477595444705675e-27,1.6737994062145587e-25,26.19737953284464
Ctdsp2,4933.858492000465,0.5279161902776199,0.0491424830055689,10.742562402021798,6.423633189450759e-27,1.6914983962630008e-25,26.1922192666624
Emp2,1670.7765837017837,0.8048498422355915,0.0749768835736753,10.734639849957391,6.999134453757399e-27,1.8380335695954212e-25,26.154955663585596
Fkrp,1611.4218306634534,0.6288836173819503,0.0588042570315498,10.694525347791398,1.0797104614568627e-26,2.7714002389161013e-25,25.96669269067061
Pbdc1,260.35611585305475,0.4311434216316936,0.0406124543852977,10.6160395415002,2.509849769263456e-26,6.308241396661127e-25,25.600352273073742
Crtap,633.0107634486587,0.869924775408058,0.0822651959722879,10.574639312852335,3.906778326800811e-26,9.705682712134456e-25,25.40818123023373
Dynll2,11997.363616151708,0.6022108009470185,0.0569739686705215,10.569928951756586,4.108057356786213e-26,1.0179555460508196e-24,25.386363501403423
Ube2s,1341.6477359832722,0.5705258364728268,0.0542076573751947,10.52481999957995,6.638821221550203e-26,1.6099766194494644e-24,25.177909026418547
Kcne1,199.85236741387263,1.5520363488221616,0.1475757287641077,10.516880802960577,7.22251391014783e-26,1.7406078410889933e-24,25.14131161305668
Mesd,1133.9716738704044,0.2582933669279484,0.0246197699325974,10.491298969693418,9.47171609192584e-26,2.2545483820781112e-24,25.023571328099816
Ccdc8,250.42103778670037,0.8968577017625707,0.0855177714647724,10.487383925012775,9.87240103331584e-26,2.3412732168334795e-24,25.005577211189824
Cmtm7,237.07665009091824,0.7472545392880419,0.0712815857721359,10.483135738264457,1.032620184409926e-25,2.442898766741132e-24,24.986059390142778
Mex3d,271.9573615362822,0.716613422985517,0.068387640031893,10.478697943829026,1.082234225520246e-25,2.554019915855349e-24,24.9656787356783
Ppil1,647.6499521442826,0.5545860615012831,0.0529309550451643,10.4775374075165,1.0955940135429951e-25,2.579249828716079e-24,24.960350349448696
Tor1aip1,5221.263553786861,0.3542322688709727,0.0341655472234726,10.368113425901916,3.462938102856774e-25,7.911544639718172e-24,24.460555271034423
Mgat4b,2150.1676001404694,0.3772756898798712,0.0364605589648177,10.347501535670892,4.295491097033238e-25,9.710321862392799e-24,24.366987176759604
Pitpnm1,429.7625524340992,0.5007485848277174,0.0484583348148106,10.333590428589591,4.9666003362897305e-25,1.1123343140186317e-23,24.30394078639646
Hdac5,3678.1803961709616,0.405291776496178,0.0392798597422107,10.318055592765903,5.839370604363396e-25,1.29727994300156e-23,24.23363396072707
Ccdc71l,467.3424836358325,0.6367207774924031,0.062172107763216,10.241260919082386,1.2953700050168308e-24,2.791182994087548e-23,23.887606163485994
Drap1,3828.2280313549977,0.6134113063252854,0.0599248700060232,10.23633937401331,1.362960270288877e-24,2.92703290046038e-23,23.86551680347992
Sap30,170.59240698329845,0.7179693702511806,0.0705331438951586,10.179177200981986,2.4562944033209857e-24,5.1885528117363947e-23,23.609719581311342
Spry1,830.7098292523301,0.977746302361415,0.0976148696596374,10.016366418053014,1.2916453714723369e-23,2.5710527023498793e-22,22.888856707976657
Cdkal1,491.59094685057545,0.3827306519380611,0.0383428147835074,9.981808954273388,1.8309778203442582e-23,3.60378200729265e-22,22.73731691651777
C1qtnf4,64.84395146658412,1.0536662227929876,0.1056515534624763,9.97303104650716,2.0002935689348413e-23,3.921892706243374e-22,22.69890626132992
Cox7a2,7077.693552355483,0.5607678842422791,0.0565023360059193,9.924684957866726,3.25127824491276e-23,6.228018425933977e-22,22.487945861922107
Ndufab1,7697.71670652506,0.7170723181022358,0.0723473148187782,9.91152636277407,3.709353448684064e-23,7.084425242704112e-22,22.43070178260569
Tgfbr3,2130.112900854432,0.7684995344666745,0.0775380598206217,9.9112556626325,3.7194186757659704e-23,7.096636146614478e-22,22.429524932600767
Nenf,978.6779434850296,0.8951980063534422,0.0906182959739285,9.878777753788224,5.1456681803999313e-23,9.702973130806816e-22,22.288558222802624
Tm2d1,627.6307940355069,0.3645592599876237,0.0370521553413534,9.839083762577864,7.640345797903813e-23,1.415844713153259e-21,22.11688698504696
Timp4,982.691133659848,1.3481034673189514,0.137246172820465,9.822521383400884,9.006224058199299e-23,1.6578314152083432e-21,22.04545725279512
Ptov1,2401.7941719733435,0.4055803262879444,0.0414108067899365,9.794069657838849,1.1939141752115816e-22,2.176978601744288e-21,21.92302689144089
Nrxn2,138.89693355871182,0.831835199672729,0.0849766247145292,9.788988471443751,1.255455372082148e-22,2.2799972690710625e-21,21.901198720627637
Rgcc,624.8863379712751,1.245339452143477,0.1272192950377105,9.788919611402749,1.2563105813124388e-22,2.2799972690710625e-21,21.900902982353585
Zbtb16,2948.2653102346144,1.891796515630452,0.1932809609128531,9.787805827825064,1.2702236150001658e-22,2.3030846182667168e-21,21.89611981745986
Nkx2-5,1668.0766432375012,1.0971555175980632,0.1122913950114435,9.770610806698526,1.505417085389118e-22,2.7117149512023187e-21,21.82234315934724
