gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,rank_score
ENSMUSG00000115779,116.67457016659682,8.292782181657403,2.046233135422766,4.052706428265349,5.062851744840168e-05,0.1561851219738533,4.2956047898441545
ENSMUSG00000027896,62.228714313284875,7.5084280890138,1.8718917046414072,4.011144485760819,6.04251148821284e-05,0.1561851219738533,4.218782515225202
ENSMUSG00000055061,97.18187144911361,9.589893156926225,2.4498387376934114,3.914499762525335,9.059182693647368e-05,0.1561851219738533,4.042910981975516
ENSMUSG00000081209,50.208233891542896,8.609873634438433,2.2201464981964887,3.878065542716468,0.00010529035404416678,0.1561851219738533,3.9776114139738383
ENSMUSG00000086407,101.04357823732163,7.7897972994829745,2.0236026262527003,3.849469850663365,0.00011837375211349235,0.1561851219738533,3.9267445862617927
ENSMUSG00000097654,80.36035073152588,8.536161051161162,2.2191225815269884,3.846637910956406,0.0001197497388374215,0.1561851219738533,3.9217254250665547
ENSMUSG00000106696,57.72411936884125,7.957733830767894,2.080653800762086,3.8246313864676553,0.00013096788873461632,0.1561851219738533,3.88283517346532
ENSMUSG00000020234,76.78871874828658,8.47071226968493,2.237469781672718,3.7858443224883596,0.00015318755852034886,0.1561851219738533,3.814776505495664
ENSMUSG00000116250,83.50978595002915,8.59697542200231,2.2829788839068925,3.7656832845033543,0.00016609422814630899,0.1561851219738533,3.7796454592268844
ENSMUSG00000118134,59.50887383779812,8.86740439883701,2.356563113739768,3.762854619567055,0.0001679848632224183,0.1561851219738533,3.7747298499119077
ENSMUSG00000089702,91.73277353223362,9.507789092124048,2.548545090939518,3.7306732872515167,0.00019096873941507148,0.1561851219738533,3.719037718671956
ENSMUSG00000096935,87.37443510001066,7.489618757288764,2.0142008690775097,3.718407072636682,0.00020048301677254635,0.1561851219738533,3.6979224112451137
ENSMUSG00000072844,40.98278326250125,8.30895268636617,2.24798662507219,3.6961753213720048,0.0002188718547276311,0.1561851219738533,3.6598100818416723
ENSMUSG00000085913,69.49983033040797,9.099702006415848,2.462931629800885,3.6946628547506655,0.00022017873896124687,0.1561851219738533,3.6572246199582894
ENSMUSG00000091906,76.41499372309899,9.239417480600858,2.5034914929038625,3.6906126930288967,0.000223714549312611,0.1561851219738533,3.650305770571633
ENSMUSG00000091623,83.13091325987294,9.3637330314929,2.5374873767658386,3.6901594534935076,0.00022411352884205079,0.1561851219738533,3.6495319260436747
ENSMUSG00000102912,110.38176257471594,6.578896362855011,1.7831501228198472,3.6894798024359505,0.0002247130667718292,0.1561851219738533,3.6483716731887634
ENSMUSG00000023017,67.29857656463481,6.492399208361472,1.7621757420608153,3.684308581372703,0.00022932428652209765,0.1561851219738533,3.6395499490031757
ENSMUSG00000052291,39.74163299861238,7.474499170478194,2.031102087748963,3.680021410820398,0.0002332143714315078,0.1561851219738533,3.63224469044352
ENSMUSG00000099708,121.1553216711688,10.87741838090012,2.9584417006003587,3.6767391355701746,0.00023623439818393956,0.1561851219738533,3.6266568643271313
ENSMUSG00000015467,75.00581480114144,8.268259204641767,2.248941786770285,3.676510994317843,0.00023644566946170014,0.1561851219738533,3.626268635745024
ENSMUSG00000102140,71.74425806670963,6.87731722054311,1.872324229087533,3.6731443804979933,0.00023958402203316098,0.1561851219738533,3.6205421486124942
ENSMUSG00000114937,59.3527855906466,8.866371442383425,2.418598933486777,3.6659122434992586,0.00024645843767506846,0.1561851219738533,3.6082563088827837
ENSMUSG00000015083,48.91735553240472,6.378121884469694,1.7400825426407711,3.6654134089467827,0.0002469393555705733,0.1561851219738533,3.607409689553439
ENSMUSG00000105881,81.04318977901221,5.6951590650554635,1.555185157075105,3.662045666489361,0.00025020924234973223,0.1561851219738533,3.6016966521671634
ENSMUSG00000089900,95.87723215106705,7.3914468104613,2.0246306916779906,3.6507629963543398,0.00026146242676654025,0.1561851219738533,3.5825907122283467
ENSMUSG00000027715,122.45890929084659,6.694246302005302,1.838818416879179,3.640515148508627,0.00027209309762912006,0.1561851219738533,3.5652824751243464
ENSMUSG00000070574,97.70737375228833,6.970528721245288,1.9173184511636825,3.6355612793558887,0.00027737604593203977,0.1561851219738533,3.556931047115386
ENSMUSG00000087231,130.9126403436434,5.381365283172211,1.4823671324998027,3.6302513494732565,0.00028314535739163625,0.1561851219738533,3.5479905549123374
ENSMUSG00000117959,97.34766086009154,10.558391538250797,2.9104283046201664,3.627779293339696,0.00028586946576101906,0.1561851219738533,3.543832229950445
ENSMUSG00000104466,53.38717178767803,6.2707523277211505,1.730269775014686,3.6241471811341825,0.00028991648353807436,0.1561851219738533,3.537727091626321
ENSMUSG00000110378,45.63310323562886,8.474024001980133,2.338325769942158,3.6239706677781474,0.0002901145215404015,0.1561851219738533,3.5374305322555055
ENSMUSG00000097876,44.015091545617885,8.41971430076647,2.3244006272483055,3.622316309015102,0.0002919767882743879,0.1561851219738533,3.534651672952402
ENSMUSG00000100039,92.01958118786591,8.56820624185512,2.3798435105605114,3.6003233842199562,0.00031782165174377394,0.15972737408117443,3.4978165196127877
ENSMUSG00000091191,53.64050272814257,6.521517042195414,1.815262808312859,3.5926021358067923,0.0003273922665142687,0.15972737408117443,3.484931583475838
ENSMUSG00000109799,78.38656547871965,7.456413585188404,2.0809291823111877,3.583213522387593,0.00033939295298723924,0.15972737408117443,3.469297179432983
ENSMUSG00000075591,96.913560638351,6.432933360054801,1.7982832728388864,3.5772636365011365,0.00034720994053503583,0.15972737408117443,3.4594078495735596
ENSMUSG00000098066,102.82133409144812,5.631156531220816,1.5764337619440318,3.5720857210496226,0.0003541494431821783,0.15972737408117443,3.450813436692353
ENSMUSG00000089998,85.60970711863791,7.869844287676796,2.2059764743643653,3.567510523857436,0.0003603889094901067,0.15972737408117443,3.4432285823471336
ENSMUSG00000064247,48.903777428649846,7.716575496734367,2.1694550828645953,3.5569187662301056,0.00037523012428272213,0.15972737408117443,3.4257023027967435
ENSMUSG00000097379,115.78948477883007,10.812618551931438,3.046228857587688,3.5495095928196156,0.00038594940329229335,0.15972737408117443,3.4134696261864
ENSMUSG00000087429,43.976945129827186,8.420305180199144,2.372338777403025,3.5493687749844756,0.00038615587673172927,0.15972737408117443,3.4132373514439163
ENSMUSG00000107682,99.4364857440781,6.038360702192889,1.7028556489303606,3.546020301829959,0.00039109607535417007,0.15972737408117443,3.407716542167479
ENSMUSG00000013483,52.55921628930637,6.382847249571585,1.8006623559222834,3.5447218789123554,0.000393027556308567,0.15972737408117443,3.4055769989039564
ENSMUSG00000117030,108.61365519231673,6.647383737671827,1.8770925377159116,3.541319143360142,0.0003981316964922381,0.15972737408117443,3.3999732455163825
ENSMUSG00000109225,90.5304945986482,7.363178747890545,2.0923849655521853,3.5190363480495495,0.000433117363203449,0.16127482175155924,3.3633944055283105
ENSMUSG00000094891,62.80625501266172,8.181559702548748,2.3267172557645774,3.5163532149333814,0.0004375185060067733,0.16127482175155924,3.3590035726150465
ENSMUSG00000086769,63.412977552921696,6.8304025855140615,1.9442995665272682,3.5130402244104326,0.00044301040373372107,0.16127482175155924,3.3535860746096806
ENSMUSG00000064177,38.693554366055544,8.228651466852005,2.3464294384289364,3.506882129965749,0.00045338993237243675,0.16127482175155924,3.343528127711134
ENSMUSG00000103382,66.56409482742244,6.777864765243628,1.9343513360892433,3.5039471055691016,0.00045841640224067876,0.16127482175155924,3.3387398516096507
ENSMUSG00000096991,66.26383694420652,9.995290542576095,2.8546307410957166,3.501430289628115,0.00046276801894198737,0.16127482175155924,3.3346366619867918
