,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,rank_score
BC021785,9710.4,1.311896738345756,0.26337398523961014,4.9811173915002644,6.321817374957744e-07,0.005042446868177727,6.19915805424046
Kcnh8,3116.3,1.3839135714979751,0.2806704328649943,4.930742285075867,8.191774621359314e-07,0.005042446868177727,6.086622004860244
Sp9,1861.6,2.962285680494056,0.6303395790773298,4.699507660347382,2.607894405177633e-06,0.012842315208856736,5.583709997363848
Svop,5847.3,1.0631988575945652,0.23598701320471477,4.505327827816771,6.627055277616883e-06,0.027195225840913814,5.178679406855128
St18,3608.5,0.7245051456662517,0.16674276320807635,4.345047015696569,1.3924583609882147e-05,0.03428510976425182,4.856217782770698
Grip1,6714.6,0.6146033494511098,0.14330687543775225,4.288722000069517,1.7970412692273302e-05,0.03618757048746812,4.745441949161533
Shroom1,5655.1,1.232770066239665,0.30406045679594124,4.054358397109797,5.027209158364218e-05,0.0651473388932862,4.298673045459459
Nsmce1,948.3,0.4169901090445544,0.10331149202316381,4.036241282345044,5.4314358707662676e-05,0.06686640700500351,4.265085343833605
Angptl1,2928.1,1.3294208739316449,0.33355840919559243,3.9855714540001217,6.731791482674086e-05,0.07326445237613381,4.17186934476492
Ddah2,2144.9,0.8627714485835362,0.2263470162324458,3.811719999425651,0.00013800315168309505,0.10961011615294086,3.8601109951716106
0610007P14Rik,1896.5,0.5729278840762501,0.1511600223043927,3.7902077238553087,0.00015052135429266186,0.11341776912627148,3.822401882836999
Erp27,502.9,0.6650326647210651,0.17557399806383167,3.787762835356098,0.0001520098440893087,0.11341776912627148,3.818128286428701
Cenpu,889.4,1.8360863353618135,0.4937695731261257,3.718508460813591,0.00020040258121502066,0.14098035299074968,3.6980966889913156
Fam71f2,749.6,1.8520335269542147,0.5004004855882864,3.701102577422375,0.00021466466894056103,0.1468187077404026,3.668239429000197
Zmym1,3044.7,1.271489439222383,0.34433115102244477,3.6926355209131305,0.00022194200092017432,0.14769340396369005,3.65376050289737
Zfx,8698.6,0.14408065480134627,0.03978993124651125,3.6210330173410172,0.00029342906063087554,0.17621488611837602,3.53249687670052
Cspp1,1778.1,0.9362028565148198,0.25932504404460954,3.610152116097867,0.0003060174857266029,0.17724021309427224,3.5142537573824275
